Date,Open,High,Low,Close,Adj Close,Volume,bb_bbm,bb_bbh,bb_bbl,rsi
2022-05-19,139.8800048828125,141.66000366210938,136.60000610351562,137.35000610351562,135.81344604492188,136095600,153.6265007019043,169.43695602137248,137.8160453824361,32.7747519730341
2022-05-20,139.08999633789062,140.6999969482422,132.61000061035156,137.58999633789062,136.0507354736328,137426100,152.4165008544922,169.21588986406053,135.61711184492387,33.092416572127036
2022-05-23,137.7899932861328,143.25999450683594,137.64999389648438,143.11000061035156,141.50901794433594,117726300,151.42800064086913,167.9729740906567,134.88302719108157,40.1032578453247
2022-05-24,140.80999755859375,141.97000122070312,137.3300018310547,140.36000061035156,138.78977966308594,104132700,150.60600051879882,167.62839320038236,133.58360783721528,37.968743960077845
2022-05-25,138.42999267578125,141.7899932861328,138.33999633789062,140.52000427246094,138.94798278808594,92482700,149.80350036621093,167.13605399363766,132.4709467387842,38.17493312361809
2022-05-26,137.38999938964844,144.33999633789062,137.13999938964844,143.77999877929688,142.1715087890625,90601500,148.81050033569335,165.10282958088064,132.51817109050606,42.37753926899583
2022-05-27,145.38999938964844,149.67999267578125,145.25999450683594,149.63999938964844,147.96595764160156,90978500,148.41000061035157,164.1995122103802,132.62048901032296,49.0782775871423
2022-05-31,149.07000732421875,150.66000366210938,146.83999633789062,148.83999633789062,147.1748809814453,103718400,147.95400009155273,163.128761592959,132.77923859014646,48.25331047197227
2022-06-01,149.89999389648438,151.74000549316406,147.67999267578125,148.7100067138672,147.04635620117188,74286600,147.41550064086914,161.65130248387948,133.1796987978588,48.11179607610671
2022-06-02,147.8300018310547,151.27000427246094,146.86000061035156,151.2100067138672,149.51840209960938,72348100,146.67500076293945,158.25596954921213,135.09403197666677,51.08310878766061
2022-06-03,146.89999389648438,147.97000122070312,144.4600067138672,145.3800048828125,143.7536163330078,88570300,146.10550079345703,156.72506297191424,135.4859386149998,44.6604327625558
2022-06-06,147.02999877929688,148.57000732421875,144.89999389648438,146.13999938964844,144.505126953125,71598400,145.54850082397462,154.85228833130864,136.2447133166406,45.62027997732073
2022-06-07,144.35000610351562,149.0,144.10000610351562,148.7100067138672,147.04635620117188,67808200,145.3810012817383,154.32344745425738,136.4385551092192,48.85108932317822
2022-06-08,148.5800018310547,149.8699951171875,147.4600067138672,147.9600067138672,146.30474853515625,53950200,145.05350189208986,153.06604646235806,137.04095732182165,47.955671113704874
2022-06-09,147.0800018310547,147.9499969482422,142.52999877929688,142.63999938964844,141.04428100585938,69473000,144.86050186157226,152.91024732053157,136.81075640261295,42.065672933218465
2022-06-10,140.27999877929688,140.75999450683594,137.05999755859375,137.1300048828125,135.59591674804688,91437900,144.5890022277832,153.27215870728784,135.90584574827855,36.99729717970413
2022-06-13,132.8699951171875,135.1999969482422,131.44000244140625,131.8800048828125,130.40463256835938,122207100,143.82750244140624,154.03094866720986,133.62405621560262,32.92650092951652
2022-06-14,133.1300048828125,133.88999938964844,131.47999572753906,132.75999450683594,131.27479553222656,84784300,143.1885025024414,154.4307644008575,131.9462406040253,34.23273816590529
2022-06-15,134.2899932861328,137.33999633789062,132.16000366210938,135.42999267578125,133.9149169921875,91533000,142.49800186157228,153.86444569019108,131.13155803295348,38.16739393625615
2022-06-16,132.0800018310547,132.38999938964844,129.0399932861328,130.05999755859375,128.60501098632812,108123900,141.96000137329102,154.54634016907622,129.37366257750583,33.7889544953392
2022-06-17,130.07000732421875,133.0800018310547,129.80999755859375,131.55999755859375,130.08822631835938,134520300,141.6705009460449,154.91671877924009,128.42428311284974,35.99759575032314
2022-06-21,133.4199981689453,137.05999755859375,133.32000732421875,135.8699951171875,134.34999084472656,81000500,141.58450088500976,154.95730062347715,128.21170114654237,41.98583606450711
2022-06-22,134.7899932861328,137.75999450683594,133.91000366210938,135.35000610351562,133.83583068847656,73409200,141.19650115966797,154.8177328532919,127.57526946604406,41.481569768193495
2022-06-23,136.82000732421875,138.58999633789062,135.6300048828125,138.27000427246094,136.72315979003906,72433800,141.09200134277344,154.76925260817123,127.41475007737564,45.444094615261925
2022-06-24,139.89999389648438,141.91000366210938,139.77000427246094,141.66000366210938,140.07522583007812,89116800,141.14900131225585,154.82574417698817,127.47225844752353,49.7023232912793
2022-06-27,142.6999969482422,143.49000549316406,140.97000122070312,141.66000366210938,140.07522583007812,70207900,141.0430015563965,154.6693050441746,127.41669806861839,49.7023232912793
